id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Drop It Hard,Bass Collective,edm,intense,0.95,140,0.55,0.92,0.03
12,Sunday Porch,River Oak,country,relaxed,0.38,88,0.79,0.55,0.82
13,Gold Chains,Kira Voss,hip-hop,confident,0.72,96,0.68,0.85,0.12
14,Velvet Rain,Halo String Quartet,classical,melancholy,0.22,58,0.40,0.30,0.97
15,Neon Block,Street Static,hip-hop,intense,0.84,102,0.53,0.88,0.08
16,Ocean Floor,Tide Theory,ambient,chill,0.20,55,0.72,0.35,0.95
17,Broken Glass,Iron Haze,metal,intense,0.96,168,0.30,0.58,0.04
18,Campfire Song,Meadow Folk,folk,relaxed,0.31,76,0.85,0.50,0.93
19,Late Night FM,Smooth Operators,r&b,moody,0.61,95,0.66,0.76,0.30
20,Weekend Groove,Indigo Parade,pop,happy,0.79,120,0.87,0.83,0.20
